CanvasID,Started_At,Ended_At,Selected_Time_Zone,WorkFlow_State,Enrollments,Courses,Users,Sections
7574,2018-01-30 22:00:08,2018-01-30 22:05:15,America/Chicago,imported,1,2133,6666,2133
7573,2018-01-30 21:00:07,2018-01-30 21:05:01,America/Chicago,imported,0,2133,6666,2133
7572,2018-01-30 20:00:08,2018-01-30 20:06:11,America/Chicago,imported,0,2133,6666,2133
7571,2018-01-30 19:00:07,2018-01-30 19:05:39,America/Chicago,imported,1,2133,6666,2133
7570,2018-01-30 18:00:07,2018-01-30 18:05:57,America/Chicago,imported,5,2133,6666,2133
7569,2018-01-30 17:00:08,2018-01-30 17:06:37,America/Chicago,imported,4,2133,6666,2133
7568,2018-01-30 16:00:09,2018-01-30 16:06:17,America/Chicago,imported,3,2133,6666,2133
7567,2018-01-30 15:00:06,2018-01-30 15:06:12,America/Chicago,imported,2,2133,6666,2133
7566,2018-01-30 14:00:08,2018-01-30 14:05:40,America/Chicago,imported,5,2133,6666,2133
7565,2018-01-30 13:00:08,2018-01-30 13:06:48,America/Chicago,imported,10,2133,6666,2133
7564,2018-01-30 12:00:08,2018-01-30 12:06:48,America/Chicago,imported,0,2133,6666,2133
7563,2018-01-30 11:00:09,2018-01-30 11:06:10,America/Chicago,imported,4,2133,6666,2133
7562,2018-01-30 10:00:07,2018-01-30 10:06:09,America/Chicago,imported,43,2133,6666,2133
7561,2018-01-30 09:00:06,2018-01-30 09:06:40,America/Chicago,imported,0,2133,6643,2133
7560,2018-01-30 08:00:06,2018-01-30 08:06:13,America/Chicago,imported,0,2133,6643,2133
7559,2018-01-30 07:00:07,2018-01-30 07:05:25,America/Chicago,imported,2,2133,6643,2133
7558,2018-01-30 06:00:07,2018-01-30 06:04:53,America/Chicago,imported,0,2133,6643,2133
7557,2018-01-30 05:00:09,2018-01-30 05:05:29,America/Chicago,imported,0,2133,6643,2133
7556,2018-01-30 04:00:07,2018-01-30 04:04:44,America/Chicago,imported,0,2133,6643,2133
7555,2018-01-30 03:00:08,2018-01-30 03:04:34,America/Chicago,imported,0,2133,6643,2133
7554,2018-01-30 02:00:07,2018-01-30 02:04:57,America/Chicago,imported,0,2133,6643,2133
7553,2018-01-30 01:00:08,2018-01-30 01:05:53,America/Chicago,imported,0,2133,6643,2133
7552,2018-01-30 00:00:07,2018-01-30 00:06:06,America/Chicago,imported,0,2133,6643,2133
7551,2018-01-29 23:00:07,2018-01-29 23:05:29,America/Chicago,imported,2,2133,6643,2133
