CanvasID,Started_At,Ended_At,Selected_Time_Zone,WorkFlow_State,Enrollments,Courses,Users,Sections
9495,2018-04-23T12:00:09-05:00,2018-04-23T12:10:12-05:00,America/Chicago,imported,26,5586,7090,5586
9494,2018-04-23T11:00:11-05:00,2018-04-23T11:11:45-05:00,America/Chicago,imported,24,5586,7090,5586
9493,2018-04-23T10:00:10-05:00,2018-04-23T10:13:09-05:00,America/Chicago,imported,217,5586,7090,5586
9492,2018-04-23T09:00:08-05:00,2018-04-23T09:09:41-05:00,America/Chicago,imported,1,5586,7047,5586
9491,2018-04-23T08:35:56-05:00,2018-04-23T08:35:57-05:00,America/Chicago,imported,1,0,0,0
9488,2018-04-23T07:00:08-05:00,2018-04-23T07:07:12-05:00,America/Chicago,imported,0,5586,7047,5586
9487,2018-04-23T06:00:13-05:00,2018-04-23T06:06:13-05:00,America/Chicago,imported,0,5586,7047,5586
9486,2018-04-23T05:00:10-05:00,2018-04-23T05:06:51-05:00,America/Chicago,imported,3,5586,7047,5586
9485,2018-04-23T04:00:10-05:00,2018-04-23T04:07:34-05:00,America/Chicago,imported,1,5586,7047,5586
9484,2018-04-23T03:00:08-05:00,2018-04-23T03:06:27-05:00,America/Chicago,imported,0,5586,7047,5586
9483,2018-04-23T02:00:09-05:00,2018-04-23T02:06:13-05:00,America/Chicago,imported,1,5586,7047,5586
9482,2018-04-23T01:00:11-05:00,2018-04-23T01:07:57-05:00,America/Chicago,imported,0,5586,7047,5586
9481,2018-04-23T00:00:13-05:00,2018-04-23T00:07:19-05:00,America/Chicago,imported,2,5586,7047,5586
9480,2018-04-22T23:00:29-05:00,2018-04-22T23:08:45-05:00,America/Chicago,imported,1,5586,7047,5586
