CanvasID,Started_At,Ended_At,Selected_Time_Zone,WorkFlow_State,Enrollments,Courses,Users,Sections
9211,2018-04-11T22:00:08-05:00,2018-04-11T22:07:13-05:00,America/Chicago,imported,22,5555,6925,5555
9210,2018-04-11T21:00:10-05:00,2018-04-11T21:08:31-05:00,America/Chicago,imported,13,5555,6925,5555
9209,2018-04-11T20:00:10-05:00,2018-04-11T20:07:25-05:00,America/Chicago,imported,14,5555,6925,5555
9208,2018-04-11T19:00:08-05:00,2018-04-11T19:08:06-05:00,America/Chicago,imported,16,5555,6925,5555
9207,2018-04-11T18:00:09-05:00,2018-04-11T18:08:19-05:00,America/Chicago,imported,17,5555,6925,5555
9206,2018-04-11T17:00:10-05:00,2018-04-11T17:08:26-05:00,America/Chicago,imported,77,5555,6925,5555
9205,2018-04-11T16:00:10-05:00,2018-04-11T16:08:17-05:00,America/Chicago,imported,51,5555,6925,5555
9204,2018-04-11T15:00:09-05:00,2018-04-11T15:08:30-05:00,America/Chicago,imported,69,5552,6926,5552
9203,2018-04-11T14:00:10-05:00,2018-04-11T14:10:02-05:00,America/Chicago,imported,70,5551,6926,5551
9202,2018-04-11T13:00:10-05:00,2018-04-11T13:09:06-05:00,America/Chicago,imported,113,5551,6926,5551
9201,2018-04-11T12:00:10-05:00,2018-04-11T12:10:09-05:00,America/Chicago,imported,95,5551,6926,5551
9200,2018-04-11T11:00:10-05:00,2018-04-11T11:10:24-05:00,America/Chicago,imported,101,5551,6926,5551
9199,2018-04-11T10:00:10-05:00,2018-04-11T10:08:53-05:00,America/Chicago,imported,62,5548,6926,5548
9198,2018-04-11T09:00:09-05:00,2018-04-11T09:09:00-05:00,America/Chicago,imported,61,5545,6926,5545
9197,2018-04-11T08:00:08-05:00,2018-04-11T08:08:04-05:00,America/Chicago,imported,12,5545,6907,5545
9196,2018-04-11T07:00:09-05:00,2018-04-11T07:07:57-05:00,America/Chicago,imported,6,5545,6907,5545
9195,2018-04-11T06:00:09-05:00,2018-04-11T06:07:38-05:00,America/Chicago,imported,4,5545,6907,5545
9194,2018-04-11T05:00:09-05:00,2018-04-11T05:06:57-05:00,America/Chicago,imported,0,5545,6907,5545
9193,2018-04-11T04:00:09-05:00,2018-04-11T04:07:39-05:00,America/Chicago,imported,3,5545,6907,5545
9192,2018-04-11T03:00:09-05:00,2018-04-11T03:07:43-05:00,America/Chicago,imported,0,5545,6907,5545
9191,2018-04-11T02:00:07-05:00,2018-04-11T02:06:43-05:00,America/Chicago,imported,11,5545,6907,5545
9190,2018-04-11T01:00:10-05:00,2018-04-11T01:10:14-05:00,America/Chicago,imported,636,5545,6907,5545
9189,2018-04-11T00:00:09-05:00,2018-04-11T00:06:18-05:00,America/Chicago,imported,26,5545,6907,5545
9188,2018-04-10T23:00:15-05:00,2018-04-10T23:07:27-05:00,America/Chicago,imported,15,5545,6907,5545
