CanvasID,Started_At,Ended_At,Selected_Time_Zone,WorkFlow_State,Enrollments,Courses,Users,Sections
8906,2018-03-26T22:00:07-05:00,2018-03-26T22:06:06-05:00,America/Chicago,imported,0,2138,6756,2138
8905,2018-03-26T21:00:07-05:00,2018-03-26T21:05:14-05:00,America/Chicago,imported,3,2138,6756,2138
8904,2018-03-26T20:00:08-05:00,2018-03-26T20:06:00-05:00,America/Chicago,imported,0,2138,6756,2138
8903,2018-03-26T19:00:07-05:00,2018-03-26T19:05:38-05:00,America/Chicago,imported,1,2138,6756,2138
8902,2018-03-26T18:00:07-05:00,2018-03-26T18:06:32-05:00,America/Chicago,imported,1,2138,6756,2138
8901,2018-03-26T17:00:08-05:00,2018-03-26T17:06:11-05:00,America/Chicago,imported,2,2138,6756,2138
8900,2018-03-26T16:00:09-05:00,2018-03-26T16:05:33-05:00,America/Chicago,imported,1,2138,6756,2138
8899,2018-03-26T15:00:07-05:00,2018-03-26T15:05:53-05:00,America/Chicago,imported,4,2138,6756,2138
8898,2018-03-26T14:00:07-05:00,2018-03-26T14:06:25-05:00,America/Chicago,imported,5,2138,6756,2138
8897,2018-03-26T13:00:07-05:00,2018-03-26T13:06:45-05:00,America/Chicago,imported,3,2138,6756,2138
8896,2018-03-26T12:00:08-05:00,2018-03-26T12:07:02-05:00,America/Chicago,imported,1,2138,6756,2138
8895,2018-03-26T11:00:07-05:00,2018-03-26T11:07:16-05:00,America/Chicago,imported,3,2138,6756,2138
8894,2018-03-26T10:00:06-05:00,2018-03-26T10:06:46-05:00,America/Chicago,imported,2,2138,6756,2138
8893,2018-03-26T09:00:07-05:00,2018-03-26T09:06:52-05:00,America/Chicago,imported,1,2138,6756,2138
8892,2018-03-26T08:00:08-05:00,2018-03-26T08:06:21-05:00,America/Chicago,imported,1,2138,6757,2138
8891,2018-03-26T07:00:06-05:00,2018-03-26T07:05:48-05:00,America/Chicago,imported,0,2138,6757,2138
8890,2018-03-26T06:00:07-05:00,2018-03-26T06:05:30-05:00,America/Chicago,imported,0,2138,6757,2138
8889,2018-03-26T05:00:08-05:00,2018-03-26T05:06:02-05:00,America/Chicago,imported,0,2138,6757,2138
8888,2018-03-26T04:00:08-05:00,2018-03-26T04:05:41-05:00,America/Chicago,imported,0,2138,6757,2138
8887,2018-03-26T03:00:09-05:00,2018-03-26T03:04:46-05:00,America/Chicago,imported,0,2138,6757,2138
8886,2018-03-26T02:00:07-05:00,2018-03-26T02:04:59-05:00,America/Chicago,imported,1,2138,6757,2138
8885,2018-03-26T01:00:07-05:00,2018-03-26T01:04:53-05:00,America/Chicago,imported,0,2138,6757,2138
8884,2018-03-26T00:00:13-05:00,2018-03-26T00:04:59-05:00,America/Chicago,imported,0,2138,6757,2138
8883,2018-03-25T23:00:23-05:00,2018-03-25T23:06:06-05:00,America/Chicago,imported,2,2138,6757,2138
