CanvasID,Started_At,Ended_At,Selected_Time_Zone,WorkFlow_State,Enrollments,Courses,Users,Sections
8157,2018-02-23T22:00:08-06:00,2018-02-23T22:05:09-06:00,America/Chicago,imported,0,2134,6766,2134
8156,2018-02-23T21:00:13-06:00,2018-02-23T21:06:08-06:00,America/Chicago,imported,0,2134,6766,2134
8155,2018-02-23T20:00:07-06:00,2018-02-23T20:05:02-06:00,America/Chicago,imported,0,2134,6766,2134
8154,2018-02-23T19:00:08-06:00,2018-02-23T19:06:02-06:00,America/Chicago,imported,0,2134,6766,2134
8153,2018-02-23T18:00:08-06:00,2018-02-23T18:05:50-06:00,America/Chicago,imported,0,2134,6766,2134
8152,2018-02-23T17:00:06-06:00,2018-02-23T17:05:31-06:00,America/Chicago,imported,4,2134,6766,2134
8151,2018-02-23T16:00:09-06:00,2018-02-23T16:05:34-06:00,America/Chicago,imported,4,2134,6766,2134
8150,2018-02-23T15:00:07-06:00,2018-02-23T15:05:33-06:00,America/Chicago,imported,1,2134,6765,2134
8149,2018-02-23T14:00:07-06:00,2018-02-23T14:05:35-06:00,America/Chicago,imported,4,2134,6765,2134
8148,2018-02-23T13:07:47-06:00,2018-02-23T13:07:52-06:00,America/Chicago,imported,20,0,0,0
8145,2018-02-23T12:59:29-06:00,2018-02-23T12:59:33-06:00,America/Chicago,imported_with_messages,0,0,0,0
8136,2018-02-23T11:00:09-06:00,2018-02-23T11:07:01-06:00,America/Chicago,imported,4,2134,6766,2134
8135,2018-02-23T10:00:07-06:00,2018-02-23T10:06:41-06:00,America/Chicago,imported,0,2134,6766,2134
8134,2018-02-23T09:00:08-06:00,2018-02-23T09:06:11-06:00,America/Chicago,imported,3,2134,6766,2134
8133,2018-02-23T08:00:07-06:00,2018-02-23T08:05:10-06:00,America/Chicago,imported,0,2134,6763,2134
8132,2018-02-23T07:00:07-06:00,2018-02-23T07:04:58-06:00,America/Chicago,imported,0,2134,6763,2134
8131,2018-02-23T06:00:08-06:00,2018-02-23T06:05:54-06:00,America/Chicago,imported,0,2134,6763,2134
8130,2018-02-23T05:00:07-06:00,2018-02-23T05:06:32-06:00,America/Chicago,imported,0,2134,6763,2134
8129,2018-02-23T04:00:09-06:00,2018-02-23T04:05:51-06:00,America/Chicago,imported,0,2134,6763,2134
8128,2018-02-23T03:00:07-06:00,2018-02-23T03:05:43-06:00,America/Chicago,imported,0,2134,6763,2134
8127,2018-02-23T02:00:08-06:00,2018-02-23T02:06:07-06:00,America/Chicago,imported,0,2134,6763,2134
8126,2018-02-23T01:00:08-06:00,2018-02-23T01:05:18-06:00,America/Chicago,imported,0,2134,6763,2134
8125,2018-02-23T00:00:08-06:00,2018-02-23T00:05:08-06:00,America/Chicago,imported,0,2134,6763,2134
8124,2018-02-22T23:00:15-06:00,2018-02-22T23:06:14-06:00,America/Chicago,imported,2,2134,6763,2134
