CanvasID,Started_At,Ended_At,Selected_Time_Zone,WorkFlow_State,Enrollments,Courses,Users,Sections
8075,2018-02-20T22:00:06-06:00,2018-02-20T22:05:37-06:00,America/Chicago,imported,0,2134,6752,2134
8074,2018-02-20T21:00:08-06:00,2018-02-20T21:06:26-06:00,America/Chicago,imported,0,2134,6752,2134
8073,2018-02-20T20:00:07-06:00,2018-02-20T20:05:32-06:00,America/Chicago,imported,0,2134,6752,2134
8072,2018-02-20T19:00:08-06:00,2018-02-20T19:05:52-06:00,America/Chicago,imported,2,2134,6752,2134
8071,2018-02-20T18:00:08-06:00,2018-02-20T18:06:32-06:00,America/Chicago,imported,0,2134,6752,2134
8070,2018-02-20T17:00:07-06:00,2018-02-20T17:06:12-06:00,America/Chicago,imported,0,2134,6752,2134
8069,2018-02-20T16:00:06-06:00,2018-02-20T16:05:01-06:00,America/Chicago,imported,2,2134,6752,2134
8068,2018-02-20T15:00:07-06:00,2018-02-20T15:06:26-06:00,America/Chicago,imported,2,2134,6752,2134
8067,2018-02-20T14:00:06-06:00,2018-02-20T14:07:11-06:00,America/Chicago,imported,3,2134,6751,2134
8066,2018-02-20T13:00:10-06:00,2018-02-20T13:07:32-06:00,America/Chicago,imported,0,2134,6751,2134
8065,2018-02-20T12:00:08-06:00,2018-02-20T12:07:08-06:00,America/Chicago,imported,8,2134,6751,2134
8064,2018-02-20T11:00:08-06:00,2018-02-20T11:06:57-06:00,America/Chicago,imported,1,2134,6751,2134
8063,2018-02-20T10:00:08-06:00,2018-02-20T10:07:13-06:00,America/Chicago,imported,0,2134,6752,2134
8062,2018-02-20T09:00:08-06:00,2018-02-20T09:06:18-06:00,America/Chicago,imported,0,2134,6752,2134
8061,2018-02-20T08:00:08-06:00,2018-02-20T08:06:05-06:00,America/Chicago,imported,0,2134,6752,2134
8060,2018-02-20T07:00:06-06:00,2018-02-20T07:05:15-06:00,America/Chicago,imported,0,2134,6752,2134
8059,2018-02-20T06:00:08-06:00,2018-02-20T06:05:03-06:00,America/Chicago,imported,0,2134,6752,2134
8058,2018-02-20T05:00:08-06:00,2018-02-20T05:05:11-06:00,America/Chicago,imported,0,2134,6752,2134
8057,2018-02-20T04:00:10-06:00,2018-02-20T04:05:41-06:00,America/Chicago,imported,0,2134,6752,2134
8056,2018-02-20T03:00:10-06:00,2018-02-20T03:05:40-06:00,America/Chicago,imported,0,2134,6752,2134
8055,2018-02-20T02:00:08-06:00,2018-02-20T02:05:04-06:00,America/Chicago,imported,0,2134,6752,2134
8054,2018-02-20T01:00:07-06:00,2018-02-20T01:05:52-06:00,America/Chicago,imported,2,2134,6752,2134
8053,2018-02-20T00:00:10-06:00,2018-02-20T00:05:06-06:00,America/Chicago,imported,1,2134,6752,2134
8052,2018-02-19T23:00:16-06:00,2018-02-19T23:06:14-06:00,America/Chicago,imported,2,2134,6752,2134
