CanvasID,Started_At,Ended_At,Selected_Time_Zone,WorkFlow_State,Enrollments,Courses,Users,Sections
8662,2018-03-16T22:00:07-05:00,2018-03-16T22:05:29-05:00,America/Chicago,imported,0,2137,6755,2137
8661,2018-03-16T21:00:07-05:00,2018-03-16T21:04:54-05:00,America/Chicago,imported,1,2137,6755,2137
8660,2018-03-16T20:00:07-05:00,2018-03-16T20:05:32-05:00,America/Chicago,imported,0,2137,6755,2137
8659,2018-03-16T19:00:07-05:00,2018-03-16T19:05:01-05:00,America/Chicago,imported,0,2137,6755,2137
8658,2018-03-16T18:00:08-05:00,2018-03-16T18:05:50-05:00,America/Chicago,imported,0,2137,6755,2137
8657,2018-03-16T17:00:06-05:00,2018-03-16T17:05:57-05:00,America/Chicago,imported,0,2137,6755,2137
8656,2018-03-16T16:00:08-05:00,2018-03-16T16:06:01-05:00,America/Chicago,imported,1,2137,6755,2137
8655,2018-03-16T15:00:09-05:00,2018-03-16T15:05:37-05:00,America/Chicago,imported,0,2137,6755,2137
8654,2018-03-16T14:00:07-05:00,2018-03-16T14:05:13-05:00,America/Chicago,imported,3,2137,6755,2137
8653,2018-03-16T13:00:06-05:00,2018-03-16T13:05:53-05:00,America/Chicago,imported,2,2137,6755,2137
8652,2018-03-16T12:00:08-05:00,2018-03-16T12:05:54-05:00,America/Chicago,imported,2,2137,6755,2137
8651,2018-03-16T11:00:07-05:00,2018-03-16T11:05:23-05:00,America/Chicago,imported,8,2137,6756,2137
8650,2018-03-16T10:00:08-05:00,2018-03-16T10:05:26-05:00,America/Chicago,imported,4,2137,6757,2137
8649,2018-03-16T09:00:06-05:00,2018-03-16T09:05:29-05:00,America/Chicago,imported,0,2137,6757,2137
8648,2018-03-16T08:00:07-05:00,2018-03-16T08:05:59-05:00,America/Chicago,imported,0,2137,6755,2137
8647,2018-03-16T07:00:07-05:00,2018-03-16T07:05:57-05:00,America/Chicago,imported,0,2137,6755,2137
8646,2018-03-16T06:00:07-05:00,2018-03-16T06:05:57-05:00,America/Chicago,imported,0,2137,6755,2137
8645,2018-03-16T05:00:08-05:00,2018-03-16T05:04:53-05:00,America/Chicago,imported,0,2137,6755,2137
8644,2018-03-16T04:00:07-05:00,2018-03-16T04:05:16-05:00,America/Chicago,imported,0,2137,6755,2137
8643,2018-03-16T03:00:08-05:00,2018-03-16T03:04:51-05:00,America/Chicago,imported,0,2137,6755,2137
8642,2018-03-16T02:00:07-05:00,2018-03-16T02:04:37-05:00,America/Chicago,imported,0,2137,6755,2137
8641,2018-03-16T01:00:10-05:00,2018-03-16T01:04:53-05:00,America/Chicago,imported,0,2137,6755,2137
8640,2018-03-16T00:00:08-05:00,2018-03-16T00:04:44-05:00,America/Chicago,imported,0,2137,6755,2137
8639,2018-03-15T23:00:15-05:00,2018-03-15T23:05:12-05:00,America/Chicago,imported,0,2137,6755,2137
