CanvasID,Started_At,Ended_At,Selected_Time_Zone,WorkFlow_State,Enrollments,Courses,Users,Sections
8422,2018-03-06T22:00:07-06:00,2018-03-06T22:05:53-06:00,America/Chicago,imported,0,2135,6754,2135
8421,2018-03-06T21:00:07-06:00,2018-03-06T21:06:11-06:00,America/Chicago,imported,0,2135,6754,2135
8420,2018-03-06T20:00:08-06:00,2018-03-06T20:06:29-06:00,America/Chicago,imported,1,2135,6754,2135
8419,2018-03-06T19:00:07-06:00,2018-03-06T19:05:37-06:00,America/Chicago,imported,1,2135,6754,2135
8418,2018-03-06T18:00:07-06:00,2018-03-06T18:07:14-06:00,America/Chicago,imported,0,2135,6754,2135
8417,2018-03-06T17:00:07-06:00,2018-03-06T17:06:05-06:00,America/Chicago,imported,2,2135,6754,2135
8416,2018-03-06T16:00:09-06:00,2018-03-06T16:05:42-06:00,America/Chicago,imported,2,2135,6754,2135
8415,2018-03-06T15:58:49-06:00,2018-03-06T15:58:52-06:00,America/Chicago,imported,30,0,0,0
8413,2018-03-06T14:00:08-06:00,2018-03-06T14:06:05-06:00,America/Chicago,imported,0,2135,6754,2135
8412,2018-03-06T13:00:09-06:00,2018-03-06T13:06:21-06:00,America/Chicago,imported,0,2135,6754,2135
8411,2018-03-06T12:00:08-06:00,2018-03-06T12:05:54-06:00,America/Chicago,imported,4,2135,6754,2135
8410,2018-03-06T11:00:10-06:00,2018-03-06T11:07:02-06:00,America/Chicago,imported,3,2135,6754,2135
8409,2018-03-06T10:00:07-06:00,2018-03-06T10:06:44-06:00,America/Chicago,imported,2,2135,6754,2135
8408,2018-03-06T09:00:07-06:00,2018-03-06T09:06:34-06:00,America/Chicago,imported,0,2135,6753,2135
8407,2018-03-06T08:00:06-06:00,2018-03-06T08:06:20-06:00,America/Chicago,imported,1,2135,6753,2135
8406,2018-03-06T07:00:07-06:00,2018-03-06T07:06:03-06:00,America/Chicago,imported,0,2135,6753,2135
8405,2018-03-06T06:00:10-06:00,2018-03-06T06:05:29-06:00,America/Chicago,imported,0,2135,6753,2135
8404,2018-03-06T05:00:07-06:00,2018-03-06T05:05:03-06:00,America/Chicago,imported,0,2135,6753,2135
8403,2018-03-06T04:00:06-06:00,2018-03-06T04:05:49-06:00,America/Chicago,imported,0,2135,6753,2135
8402,2018-03-06T03:00:08-06:00,2018-03-06T03:05:43-06:00,America/Chicago,imported,0,2135,6753,2135
8401,2018-03-06T02:00:11-06:00,2018-03-06T02:06:00-06:00,America/Chicago,imported,0,2135,6753,2135
8400,2018-03-06T01:00:08-06:00,2018-03-06T01:05:28-06:00,America/Chicago,imported,0,2135,6753,2135
8399,2018-03-06T00:00:09-06:00,2018-03-06T00:05:07-06:00,America/Chicago,imported,2,2135,6753,2135
8398,2018-03-05T23:00:14-06:00,2018-03-05T23:05:38-06:00,America/Chicago,imported,0,2135,6753,2135
