CanvasID,Started_At,Ended_At,Selected_Time_Zone,WorkFlow_State,Enrollments,Courses,Users,Sections
7792,2018-02-08T23:00:23-06:00,2018-02-08T23:05:39-06:00,America/Chicago,imported,1,2133,6726,2133
7791,2018-02-08T22:00:08-06:00,2018-02-08T22:05:48-06:00,America/Chicago,imported,0,2133,6726,2133
7791,2018-02-08T22:00:08-06:00,2018-02-08T22:05:48-06:00,America/Chicago,imported,0,2133,6726,2133
7790,2018-02-08T21:00:06-06:00,2018-02-08T21:06:03-06:00,America/Chicago,imported,0,2133,6726,2133
7790,2018-02-08T21:00:06-06:00,2018-02-08T21:06:03-06:00,America/Chicago,imported,0,2133,6726,2133
7789,2018-02-08T20:00:07-06:00,2018-02-08T20:07:04-06:00,America/Chicago,imported,0,2133,6726,2133
7789,2018-02-08T20:00:07-06:00,2018-02-08T20:07:04-06:00,America/Chicago,imported,0,2133,6726,2133
7788,2018-02-08T19:00:06-06:00,2018-02-08T19:06:21-06:00,America/Chicago,imported,1,2133,6726,2133
7788,2018-02-08T19:00:06-06:00,2018-02-08T19:06:21-06:00,America/Chicago,imported,1,2133,6726,2133
7787,2018-02-08T18:00:08-06:00,2018-02-08T18:06:51-06:00,America/Chicago,imported,0,2133,6726,2133
7787,2018-02-08T18:00:08-06:00,2018-02-08T18:06:51-06:00,America/Chicago,imported,0,2133,6726,2133
7786,2018-02-08T17:00:08-06:00,2018-02-08T17:07:10-06:00,America/Chicago,imported,5,2133,6726,2133
7786,2018-02-08T17:00:08-06:00,2018-02-08T17:07:10-06:00,America/Chicago,imported,5,2133,6726,2133
7785,2018-02-08T16:00:06-06:00,2018-02-08T16:06:29-06:00,America/Chicago,imported,8,2133,6727,2133
7785,2018-02-08T16:00:06-06:00,2018-02-08T16:06:29-06:00,America/Chicago,imported,8,2133,6727,2133
7784,2018-02-08T15:00:09-06:00,2018-02-08T15:05:47-06:00,America/Chicago,imported,2,2133,6728,2133
7784,2018-02-08T15:00:09-06:00,2018-02-08T15:05:47-06:00,America/Chicago,imported,2,2133,6728,2133
7783,2018-02-08T14:00:07-06:00,2018-02-08T14:05:45-06:00,America/Chicago,imported,3,2133,6728,2133
7783,2018-02-08T14:00:07-06:00,2018-02-08T14:05:45-06:00,America/Chicago,imported,3,2133,6728,2133
7782,2018-02-08T13:00:08-06:00,2018-02-08T13:07:52-06:00,America/Chicago,imported,6,2133,6728,2133
7782,2018-02-08T13:00:08-06:00,2018-02-08T13:07:52-06:00,America/Chicago,imported,6,2133,6728,2133
7781,2018-02-08T12:00:07-06:00,2018-02-08T12:06:53-06:00,America/Chicago,imported,0,2133,6728,2133
7781,2018-02-08T12:00:07-06:00,2018-02-08T12:06:53-06:00,America/Chicago,imported,0,2133,6728,2133
7780,2018-02-08T11:00:07-06:00,2018-02-08T11:06:29-06:00,America/Chicago,imported,1,2133,6728,2133
7780,2018-02-08T11:00:07-06:00,2018-02-08T11:06:29-06:00,America/Chicago,imported,1,2133,6728,2133
7779,2018-02-08T10:00:08-06:00,2018-02-08T10:06:19-06:00,America/Chicago,imported,1,2133,6728,2133
7779,2018-02-08T10:00:08-06:00,2018-02-08T10:06:19-06:00,America/Chicago,imported,1,2133,6728,2133
7778,2018-02-08T09:00:08-06:00,2018-02-08T09:07:20-06:00,America/Chicago,imported,13,2133,6728,2133
7778,2018-02-08T09:00:08-06:00,2018-02-08T09:07:20-06:00,America/Chicago,imported,13,2133,6728,2133
7777,2018-02-08T08:00:08-06:00,2018-02-08T08:05:56-06:00,America/Chicago,imported,0,2133,6717,2133
7777,2018-02-08T08:00:08-06:00,2018-02-08T08:05:56-06:00,America/Chicago,imported,0,2133,6717,2133
7776,2018-02-08T07:00:08-06:00,2018-02-08T07:06:19-06:00,America/Chicago,imported,0,2133,6717,2133
7776,2018-02-08T07:00:08-06:00,2018-02-08T07:06:19-06:00,America/Chicago,imported,0,2133,6717,2133
7775,2018-02-08T06:00:07-06:00,2018-02-08T06:05:40-06:00,America/Chicago,imported,0,2133,6717,2133
7775,2018-02-08T06:00:07-06:00,2018-02-08T06:05:40-06:00,America/Chicago,imported,0,2133,6717,2133
7774,2018-02-08T05:00:08-06:00,2018-02-08T05:05:49-06:00,America/Chicago,imported,1,2133,6717,2133
7774,2018-02-08T05:00:08-06:00,2018-02-08T05:05:49-06:00,America/Chicago,imported,1,2133,6717,2133
7773,2018-02-08T04:00:09-06:00,2018-02-08T04:05:33-06:00,America/Chicago,imported,0,2133,6717,2133
7773,2018-02-08T04:00:09-06:00,2018-02-08T04:05:33-06:00,America/Chicago,imported,0,2133,6717,2133
7772,2018-02-08T03:00:08-06:00,2018-02-08T03:05:00-06:00,America/Chicago,imported,0,2133,6717,2133
7772,2018-02-08T03:00:08-06:00,2018-02-08T03:05:00-06:00,America/Chicago,imported,0,2133,6717,2133
7771,2018-02-08T02:00:09-06:00,2018-02-08T02:05:43-06:00,America/Chicago,imported,0,2133,6717,2133
7771,2018-02-08T02:00:09-06:00,2018-02-08T02:05:43-06:00,America/Chicago,imported,0,2133,6717,2133
7770,2018-02-08T01:00:07-06:00,2018-02-08T01:05:31-06:00,America/Chicago,imported,0,2133,6717,2133
7770,2018-02-08T01:00:07-06:00,2018-02-08T01:05:31-06:00,America/Chicago,imported,0,2133,6717,2133
7769,2018-02-08T00:00:08-06:00,2018-02-08T00:05:50-06:00,America/Chicago,imported,0,2133,6717,2133
7769,2018-02-08T00:00:08-06:00,2018-02-08T00:05:50-06:00,America/Chicago,imported,0,2133,6717,2133
7768,2018-02-07T23:00:21-06:00,2018-02-07T23:06:21-06:00,America/Chicago,imported,0,2133,6717,2133
