CanvasID,Started_At,Ended_At,Selected_Time_Zone,WorkFlow_State,Enrollments,Courses,Users,Sections
9068,2018-04-02T22:00:05-05:00,2018-04-02T22:04:57-05:00,America/Chicago,imported,35,0,6832,0
9067,2018-04-02T21:00:07-05:00,2018-04-02T21:04:56-05:00,America/Chicago,imported,33,0,6832,0
9066,2018-04-02T20:00:07-05:00,2018-04-02T20:04:57-05:00,America/Chicago,imported,28,0,6832,0
9065,2018-04-02T19:00:06-05:00,2018-04-02T19:04:52-05:00,America/Chicago,imported,27,0,6832,0
9064,2018-04-02T18:00:05-05:00,2018-04-02T18:06:50-05:00,America/Chicago,imported,22,0,6832,0
9063,2018-04-02T17:00:07-05:00,2018-04-02T17:05:37-05:00,America/Chicago,imported,44,1,6831,1
9062,2018-04-02T16:00:07-05:00,2018-04-02T16:04:45-05:00,America/Chicago,imported,112,0,6831,0
9061,2018-04-02T15:00:06-05:00,2018-04-02T15:04:43-05:00,America/Chicago,imported,102,0,6832,0
9060,2018-04-02T14:00:05-05:00,2018-04-02T14:05:07-05:00,America/Chicago,imported,81,0,6832,0
9059,2018-04-02T13:00:05-05:00,2018-04-02T13:05:26-05:00,America/Chicago,imported,73,0,6836,0
9058,2018-04-02T12:00:06-05:00,2018-04-02T12:05:44-05:00,America/Chicago,imported,96,0,6836,0
9056,2018-04-02T10:00:08-05:00,2018-04-02T10:05:58-05:00,America/Chicago,imported,87,2,6838,2
9055,2018-04-02T09:00:05-05:00,2018-04-02T09:04:19-05:00,America/Chicago,imported,20,0,6838,0
9054,2018-04-02T08:00:10-05:00,2018-04-02T08:05:13-05:00,America/Chicago,imported,28,0,6838,0
9053,2018-04-02T07:00:06-05:00,2018-04-02T07:05:07-05:00,America/Chicago,imported,9,0,6838,0
9052,2018-04-02T06:00:06-05:00,2018-04-02T06:04:10-05:00,America/Chicago,imported,15,0,6838,0
9051,2018-04-02T05:00:08-05:00,2018-04-02T05:03:55-05:00,America/Chicago,imported,0,0,6838,0
9050,2018-04-02T04:00:07-05:00,2018-04-02T04:03:49-05:00,America/Chicago,imported,5,0,6838,0
9049,2018-04-02T03:00:06-05:00,2018-04-02T03:04:35-05:00,America/Chicago,imported,0,0,6838,0
9048,2018-04-02T02:00:05-05:00,2018-04-02T02:03:54-05:00,America/Chicago,imported,3,0,6838,0
9047,2018-04-02T01:00:08-05:00,2018-04-02T01:06:53-05:00,America/Chicago,imported,769,0,6838,0
9046,2018-04-02T00:00:10-05:00,2018-04-02T00:03:54-05:00,America/Chicago,imported,5,0,6838,0
9045,2018-04-01T23:00:18-05:00,2018-04-01T23:05:03-05:00,America/Chicago,imported,8,0,6838,0
