CanvasID,Started_At,Ended_At,Selected_Time_Zone,WorkFlow_State,Enrollments,Courses,Users,Sections
7550,2018-01-29 22:00:08,2018-01-29 22:05:04,America/Chicago,imported,1,2133,6643,2133
7549,2018-01-29 21:00:08,2018-01-29 21:05:12,America/Chicago,imported,2,2133,6643,2133
7548,2018-01-29 20:00:07,2018-01-29 20:05:30,America/Chicago,imported,0,2133,6643,2133
7547,2018-01-29 19:00:10,2018-01-29 19:05:37,America/Chicago,imported,1,2133,6643,2133
7546,2018-01-29 18:00:08,2018-01-29 18:05:59,America/Chicago,imported,1,2133,6643,2133
7545,2018-01-29 17:00:10,2018-01-29 17:06:33,America/Chicago,imported,8,2133,6643,2133
7544,2018-01-29 16:00:08,2018-01-29 16:05:04,America/Chicago,imported,5,2133,6642,2133
7543,2018-01-29 15:00:10,2018-01-29 15:05:49,America/Chicago,imported,12,2133,6641,2133
7542,2018-01-29 14:00:10,2018-01-29 14:06:32,America/Chicago,imported,6,2129,6641,2129
7542,2018-01-29 14:00:10,2018-01-29 14:06:32,America/Chicago,imported,6,2129,6641,2129
7541,2018-01-29 13:00:13,2018-01-29 13:06:02,America/Chicago,imported,1,2129,6640,2129
7541,2018-01-29 13:00:13,2018-01-29 13:06:02,America/Chicago,imported,1,2129,6640,2129
7540,2018-01-29 12:00:11,2018-01-29 12:06:17,America/Chicago,imported,4,2129,6640,2129
7540,2018-01-29 12:00:11,2018-01-29 12:06:17,America/Chicago,imported,4,2129,6640,2129
7539,2018-01-29 11:00:08,2018-01-29 11:06:04,America/Chicago,imported,3,2129,6639,2129
7539,2018-01-29 11:00:08,2018-01-29 11:06:04,America/Chicago,imported,3,2129,6639,2129
7538,2018-01-29 10:00:07,2018-01-29 10:06:27,America/Chicago,imported_with_messages,9,2129,6640,2129
7538,2018-01-29 10:00:07,2018-01-29 10:06:27,America/Chicago,imported_with_messages,9,2129,6640,2129
7537,2018-01-29 09:00:08,2018-01-29 09:06:40,America/Chicago,imported,0,2129,6638,2129
7537,2018-01-29 09:00:08,2018-01-29 09:06:40,America/Chicago,imported,0,2129,6638,2129
