CanvasID,Started_At,Ended_At,Selected_Time_Zone,WorkFlow_State,Enrollments,Courses,Users,Sections
9407,2018-04-19T22:00:10-05:00,2018-04-19T22:07:16-05:00,America/Chicago,imported,18,5586,7007,5586
9406,2018-04-19T21:00:10-05:00,2018-04-19T21:08:34-05:00,America/Chicago,imported,2,5586,7007,5586
9405,2018-04-19T20:00:09-05:00,2018-04-19T20:07:16-05:00,America/Chicago,imported,12,5586,7007,5586
9404,2018-04-19T19:00:09-05:00,2018-04-19T19:07:35-05:00,America/Chicago,imported,8,5586,7007,5586
9403,2018-04-19T18:00:11-05:00,2018-04-19T18:07:56-05:00,America/Chicago,imported,12,5586,7007,5586
9402,2018-04-19T17:00:08-05:00,2018-04-19T17:09:50-05:00,America/Chicago,imported,9,5586,7007,5586
9401,2018-04-19T16:00:10-05:00,2018-04-19T16:08:04-05:00,America/Chicago,imported,47,5586,7007,5586
9400,2018-04-19T15:00:11-05:00,2018-04-19T15:08:22-05:00,America/Chicago,imported,63,5586,7007,5586
9399,2018-04-19T14:00:09-05:00,2018-04-19T14:09:12-05:00,America/Chicago,imported,24,5586,7006,5586
9398,2018-04-19T13:00:10-05:00,2018-04-19T13:09:09-05:00,America/Chicago,imported,28,5586,7006,5586
9397,2018-04-19T12:00:09-05:00,2018-04-19T12:08:49-05:00,America/Chicago,imported,28,5586,7006,5586
9396,2018-04-19T11:00:10-05:00,2018-04-19T11:09:08-05:00,America/Chicago,imported_with_messages,41,5586,7005,5586
9395,2018-04-19T10:00:09-05:00,2018-04-19T10:08:52-05:00,America/Chicago,imported,48,5586,6987,5586
9394,2018-04-19T09:00:11-05:00,2018-04-19T09:08:33-05:00,America/Chicago,imported,11,5586,6972,5586
9393,2018-04-19T08:00:08-05:00,2018-04-19T08:09:33-05:00,America/Chicago,imported,25,5586,6972,5586
9392,2018-04-19T07:41:46-05:00,2018-04-19T07:41:47-05:00,America/Chicago,imported,6,0,0,0
9386,2018-04-19T06:00:08-05:00,2018-04-19T06:06:42-05:00,America/Chicago,imported,0,5586,6965,5586
9385,2018-04-19T05:00:09-05:00,2018-04-19T05:06:44-05:00,America/Chicago,imported,0,5586,6965,5586
9384,2018-04-19T04:00:12-05:00,2018-04-19T04:06:24-05:00,America/Chicago,imported,0,5586,6965,5586
9383,2018-04-19T03:00:09-05:00,2018-04-19T03:06:58-05:00,America/Chicago,imported,3,5586,6965,5586
9382,2018-04-19T02:00:09-05:00,2018-04-19T02:06:29-05:00,America/Chicago,imported,3,5586,6965,5586
9381,2018-04-19T01:00:12-05:00,2018-04-19T01:07:38-05:00,America/Chicago,imported,2,5586,6965,5586
9380,2018-04-19T00:00:10-05:00,2018-04-19T00:06:58-05:00,America/Chicago,imported,6,5586,6965,5586
9379,2018-04-18T23:00:21-05:00,2018-04-18T23:09:24-05:00,America/Chicago,imported,3,5586,6965,5586
