CanvasID,Started_At,Ended_At,Selected_Time_Zone,WorkFlow_State,Enrollments,Courses,Users,Sections
9378,2018-04-18T22:00:08-05:00,2018-04-18T22:07:15-05:00,America/Chicago,imported,8,5586,6965,5586
9377,2018-04-18T21:00:09-05:00,2018-04-18T21:07:33-05:00,America/Chicago,imported,11,5586,6965,5586
9376,2018-04-18T20:00:10-05:00,2018-04-18T20:07:20-05:00,America/Chicago,imported,11,5586,6965,5586
9375,2018-04-18T19:00:08-05:00,2018-04-18T19:08:22-05:00,America/Chicago,imported,11,5586,6965,5586
9374,2018-04-18T18:00:08-05:00,2018-04-18T18:08:53-05:00,America/Chicago,imported,17,5586,6965,5586
9373,2018-04-18T17:00:10-05:00,2018-04-18T17:09:32-05:00,America/Chicago,imported,27,5586,6965,5586
9372,2018-04-18T16:00:10-05:00,2018-04-18T16:08:10-05:00,America/Chicago,imported,29,5586,6965,5586
9371,2018-04-18T15:00:10-05:00,2018-04-18T15:08:20-05:00,America/Chicago,imported,60,5586,6965,5586
9370,2018-04-18T14:00:09-05:00,2018-04-18T14:09:52-05:00,America/Chicago,imported,39,5586,6966,5586
9369,2018-04-18T13:00:13-05:00,2018-04-18T13:08:46-05:00,America/Chicago,imported,42,5586,6966,5586
9368,2018-04-18T12:00:08-05:00,2018-04-18T12:07:48-05:00,America/Chicago,imported,43,5586,6966,5586
9367,2018-04-18T11:00:10-05:00,2018-04-18T11:09:39-05:00,America/Chicago,imported,42,5586,6966,5586
9366,2018-04-18T10:00:10-05:00,2018-04-18T10:09:49-05:00,America/Chicago,imported,21,5586,6966,5586
9365,2018-04-18T09:00:09-05:00,2018-04-18T09:08:29-05:00,America/Chicago,imported,9,5586,6966,5586
9364,2018-04-18T08:00:09-05:00,2018-04-18T08:08:40-05:00,America/Chicago,imported,1,5582,6966,5582
9363,2018-04-18T07:00:08-05:00,2018-04-18T07:08:12-05:00,America/Chicago,imported,6,5582,6966,5582
9362,2018-04-18T06:00:08-05:00,2018-04-18T06:07:22-05:00,America/Chicago,imported,0,5582,6966,5582
9361,2018-04-18T05:00:10-05:00,2018-04-18T05:06:11-05:00,America/Chicago,imported,2,5582,6966,5582
9360,2018-04-18T04:00:11-05:00,2018-04-18T04:07:19-05:00,America/Chicago,imported,0,5582,6966,5582
9359,2018-04-18T03:00:10-05:00,2018-04-18T03:06:43-05:00,America/Chicago,imported,0,5582,6966,5582
9358,2018-04-18T02:00:11-05:00,2018-04-18T02:07:30-05:00,America/Chicago,imported,0,5582,6966,5582
9357,2018-04-18T01:00:09-05:00,2018-04-18T01:06:33-05:00,America/Chicago,imported,0,5582,6966,5582
9356,2018-04-18T00:00:09-05:00,2018-04-18T00:06:47-05:00,America/Chicago,imported,4,5582,6966,5582
9355,2018-04-17T23:00:13-05:00,2018-04-17T23:06:50-05:00,America/Chicago,imported,2,5582,6966,5582
