CanvasID,Started_At,Ended_At,Selected_Time_Zone,WorkFlow_State,Enrollments,Courses,Users,Sections
7449,2018-01-25 17:00:07,2018-01-25 17:06:15,America/Chicago,imported,30,2128,6632,2128
7449,2018-01-25 17:00:07,2018-01-25 17:06:15,America/Chicago,imported,30,2128,6632,2128
7448,2018-01-25 16:00:08,2018-01-25 16:06:03,America/Chicago,imported,0,2128,6637,2128
7448,2018-01-25 16:00:08,2018-01-25 16:06:03,America/Chicago,imported,0,2128,6637,2128
7447,2018-01-25 15:00:09,2018-01-25 15:05:42,America/Chicago,imported,4,2128,6637,2128
7447,2018-01-25 15:00:09,2018-01-25 15:05:42,America/Chicago,imported,4,2128,6637,2128
7446,2018-01-25 14:00:09,2018-01-25 14:07:18,America/Chicago,imported,4,2128,6637,2128
7446,2018-01-25 14:00:09,2018-01-25 14:07:18,America/Chicago,imported,4,2128,6637,2128
7445,2018-01-25 13:00:07,2018-01-25 13:05:39,America/Chicago,imported,5,2128,6637,2128
7445,2018-01-25 13:00:07,2018-01-25 13:05:39,America/Chicago,imported,5,2128,6637,2128
