CanvasID,Started_At,Ended_At,Selected_Time_Zone,WorkFlow_State,Enrollments,Courses,Users,Sections
9092,2018-04-03T22:00:06-05:00,2018-04-03T22:04:37-05:00,America/Chicago,imported,26,0,6837,0
9091,2018-04-03T21:00:13-05:00,2018-04-03T21:04:17-05:00,America/Chicago,imported,13,0,6837,0
9090,2018-04-03T20:00:13-05:00,2018-04-03T20:04:05-05:00,America/Chicago,imported,26,0,6837,0
9089,2018-04-03T19:00:07-05:00,2018-04-03T19:04:17-05:00,America/Chicago,imported,21,0,6837,0
9088,2018-04-03T18:00:05-05:00,2018-04-03T18:04:55-05:00,America/Chicago,imported,44,0,6837,0
9087,2018-04-03T17:00:06-05:00,2018-04-03T17:05:40-05:00,America/Chicago,imported,59,0,6837,0
9086,2018-04-03T16:00:06-05:00,2018-04-03T16:05:16-05:00,America/Chicago,imported,36,0,6837,0
9085,2018-04-03T15:00:08-05:00,2018-04-03T15:05:10-05:00,America/Chicago,imported,110,1,6837,1
9084,2018-04-03T14:00:06-05:00,2018-04-03T14:05:29-05:00,America/Chicago,imported,75,0,6837,0
9083,2018-04-03T13:00:06-05:00,2018-04-03T13:05:52-05:00,America/Chicago,imported,98,0,6837,0
9082,2018-04-03T12:00:06-05:00,2018-04-03T12:05:18-05:00,America/Chicago,imported,95,0,6837,0
9081,2018-04-03T11:00:06-05:00,2018-04-03T11:06:08-05:00,America/Chicago,imported,112,0,6836,0
9080,2018-04-03T10:00:06-05:00,2018-04-03T10:05:43-05:00,America/Chicago,imported,43,2,6828,2
9079,2018-04-03T09:00:05-05:00,2018-04-03T09:05:09-05:00,America/Chicago,imported,37,0,6828,0
9078,2018-04-03T08:00:07-05:00,2018-04-03T08:05:24-05:00,America/Chicago,imported,1,0,6832,0
9077,2018-04-03T07:00:06-05:00,2018-04-03T07:04:03-05:00,America/Chicago,imported,6,0,6832,0
9076,2018-04-03T06:00:08-05:00,2018-04-03T06:04:34-05:00,America/Chicago,imported,2,0,6832,0
9075,2018-04-03T05:00:08-05:00,2018-04-03T05:04:19-05:00,America/Chicago,imported,4,0,6832,0
9074,2018-04-03T04:00:07-05:00,2018-04-03T04:03:47-05:00,America/Chicago,imported,0,0,6832,0
9073,2018-04-03T03:00:08-05:00,2018-04-03T03:04:32-05:00,America/Chicago,imported,0,0,6832,0
9072,2018-04-03T02:00:06-05:00,2018-04-03T02:03:54-05:00,America/Chicago,imported,3,0,6832,0
9071,2018-04-03T01:00:08-05:00,2018-04-03T01:04:56-05:00,America/Chicago,imported,460,0,6832,0
9070,2018-04-03T00:00:06-05:00,2018-04-03T00:04:26-05:00,America/Chicago,imported,19,0,6832,0
9069,2018-04-02T23:00:12-05:00,2018-04-02T23:05:05-05:00,America/Chicago,imported,14,0,6832,0
