CanvasID,Started_At,Ended_At,Selected_Time_Zone,WorkFlow_State,Enrollments,Courses,Users,Sections
9455,2018-04-21T22:00:10-05:00,2018-04-21T22:08:04-05:00,America/Chicago,imported,0,5586,7047,5586
9454,2018-04-21T21:00:08-05:00,2018-04-21T21:07:37-05:00,America/Chicago,imported,1,5586,7047,5586
9453,2018-04-21T20:00:10-05:00,2018-04-21T20:07:17-05:00,America/Chicago,imported,1,5586,7047,5586
9452,2018-04-21T19:00:10-05:00,2018-04-21T19:07:33-05:00,America/Chicago,imported,1,5586,7047,5586
9451,2018-04-21T18:00:09-05:00,2018-04-21T18:07:18-05:00,America/Chicago,imported,3,5586,7047,5586
9450,2018-04-21T17:00:08-05:00,2018-04-21T17:07:53-05:00,America/Chicago,imported,0,5586,7047,5586
9449,2018-04-21T16:00:09-05:00,2018-04-21T16:07:11-05:00,America/Chicago,imported,7,5586,7047,5586
9448,2018-04-21T15:00:09-05:00,2018-04-21T15:07:21-05:00,America/Chicago,imported,2,5586,7047,5586
9447,2018-04-21T14:00:10-05:00,2018-04-21T14:08:38-05:00,America/Chicago,imported,1,5586,7047,5586
9446,2018-04-21T13:00:10-05:00,2018-04-21T13:07:55-05:00,America/Chicago,imported,10,5586,7047,5586
9445,2018-04-21T12:00:09-05:00,2018-04-21T12:06:56-05:00,America/Chicago,imported,0,5586,7047,5586
9444,2018-04-21T11:00:08-05:00,2018-04-21T11:08:22-05:00,America/Chicago,imported,0,5586,7047,5586
9443,2018-04-21T10:00:08-05:00,2018-04-21T10:09:00-05:00,America/Chicago,imported,1,5586,7047,5586
9442,2018-04-21T09:00:08-05:00,2018-04-21T09:10:03-05:00,America/Chicago,imported,4,5586,7047,5586
9441,2018-04-21T08:00:09-05:00,2018-04-21T08:07:11-05:00,America/Chicago,imported,0,5586,7047,5586
9440,2018-04-21T07:00:08-05:00,2018-04-21T07:07:56-05:00,America/Chicago,imported,0,5586,7047,5586
9439,2018-04-21T06:00:08-05:00,2018-04-21T06:07:25-05:00,America/Chicago,imported,0,5586,7047,5586
9438,2018-04-21T05:00:10-05:00,2018-04-21T05:07:06-05:00,America/Chicago,imported,0,5586,7047,5586
9437,2018-04-21T04:00:12-05:00,2018-04-21T04:08:09-05:00,America/Chicago,imported,0,5586,7047,5586
9436,2018-04-21T03:00:08-05:00,2018-04-21T03:06:33-05:00,America/Chicago,imported,0,5586,7047,5586
9435,2018-04-21T02:00:08-05:00,2018-04-21T02:08:16-05:00,America/Chicago,imported,1,5586,7047,5586
9434,2018-04-21T01:00:10-05:00,2018-04-21T01:06:54-05:00,America/Chicago,imported,0,5586,7047,5586
9433,2018-04-21T00:00:11-05:00,2018-04-21T00:06:47-05:00,America/Chicago,imported,0,5586,7047,5586
9432,2018-04-20T23:00:10-05:00,2018-04-20T23:06:43-05:00,America/Chicago,imported,5,5586,7047,5586
