CanvasID,Started_At,Ended_At,Selected_Time_Zone,WorkFlow_State,Enrollments,Courses,Users,Sections
9282,2018-04-14T22:00:08-05:00,2018-04-14T22:07:20-05:00,America/Chicago,imported,3,5563,6949,5563
9281,2018-04-14T21:00:09-05:00,2018-04-14T21:07:09-05:00,America/Chicago,imported,8,5563,6949,5563
9280,2018-04-14T20:00:09-05:00,2018-04-14T20:07:11-05:00,America/Chicago,imported,5,5563,6949,5563
9279,2018-04-14T19:00:09-05:00,2018-04-14T19:06:58-05:00,America/Chicago,imported,5,5563,6949,5563
9278,2018-04-14T18:00:08-05:00,2018-04-14T18:09:43-05:00,America/Chicago,imported,0,5563,6949,5563
9277,2018-04-14T17:00:09-05:00,2018-04-14T17:08:36-05:00,America/Chicago,imported,0,5563,6949,5563
9276,2018-04-14T16:00:09-05:00,2018-04-14T16:07:19-05:00,America/Chicago,imported,0,5563,6949,5563
9275,2018-04-14T15:00:10-05:00,2018-04-14T15:08:07-05:00,America/Chicago,imported,6,5563,6949,5563
9274,2018-04-14T14:00:09-05:00,2018-04-14T14:08:20-05:00,America/Chicago,imported,6,5563,6949,5563
9273,2018-04-14T13:00:11-05:00,2018-04-14T13:08:04-05:00,America/Chicago,imported,1,5563,6949,5563
9272,2018-04-14T12:00:09-05:00,2018-04-14T12:06:58-05:00,America/Chicago,imported,1,5563,6949,5563
9271,2018-04-14T11:00:09-05:00,2018-04-14T11:07:06-05:00,America/Chicago,imported,1,5563,6949,5563
9270,2018-04-14T10:00:09-05:00,2018-04-14T10:07:56-05:00,America/Chicago,imported,2,5563,6949,5563
9269,2018-04-14T09:00:08-05:00,2018-04-14T09:06:50-05:00,America/Chicago,imported,0,5563,6949,5563
9268,2018-04-14T08:00:09-05:00,2018-04-14T08:06:32-05:00,America/Chicago,imported,0,5563,6949,5563
9267,2018-04-14T07:00:09-05:00,2018-04-14T07:09:00-05:00,America/Chicago,imported,0,5563,6949,5563
9266,2018-04-14T06:00:10-05:00,2018-04-14T06:07:27-05:00,America/Chicago,imported,0,5563,6949,5563
9265,2018-04-14T05:00:10-05:00,2018-04-14T05:06:42-05:00,America/Chicago,imported,0,5563,6949,5563
9264,2018-04-14T04:00:09-05:00,2018-04-14T04:06:31-05:00,America/Chicago,imported,3,5563,6949,5563
9263,2018-04-14T03:00:09-05:00,2018-04-14T03:06:43-05:00,America/Chicago,imported,0,5563,6948,5563
9262,2018-04-14T02:00:09-05:00,2018-04-14T02:07:45-05:00,America/Chicago,imported,2,5563,6948,5563
9261,2018-04-14T01:00:16-05:00,2018-04-14T01:07:05-05:00,America/Chicago,imported,0,5563,6948,5563
9260,2018-04-14T00:00:11-05:00,2018-04-14T00:06:37-05:00,America/Chicago,imported,0,5563,6948,5563
9259,2018-04-13T23:00:09-05:00,2018-04-13T23:07:43-05:00,America/Chicago,imported,2,5563,6948,5563
